,matches,home_corr
Oxford,23,0.587210011710225
Ipswich,23,0.5842826847259057
Hull,23,0.5484674546606834
Milton Keynes Dons,23,0.4798558454013819
Portsmouth,23,0.4205827591835031
Doncaster,23,0.38936285090003947
Crewe,23,0.3761548224820245
Swindon,23,0.3319888976879084
Plymouth,23,0.29935517236063974
Gillingham,23,0.2390429740230877
AFC Wimbledon,23,0.15749101536872642
Accrington,23,0.08743908290380224
Lincoln,23,0.032826277528515926
Peterboro,23,0.016850944294744007
Rochdale,23,0.016271365406374094
Sunderland,22,-0.00482703485224629
Charlton,23,-0.02229225747942841
Blackpool,23,-0.02516705182540662
Bristol Rvs,23,-0.06428481572762688
Burton,23,-0.08299660739901583
Fleetwood Town,23,-0.11205836132358087
Northampton,23,-0.16011842780551247
Wigan,23,-0.17555726597084395
Shrewsbury,23,-0.29469167545526737
